fk_Municipio_CodigoDoIBGE	fk_Abastecimento_CodigoFormaDeAbastecimento
312675	S312675000001
312700	S312700000001
312770	S312770000020
312770	S312770000021
312770	S312770000024
312770	S312770000029
312770	S312770000035
313410	S313410000002
314070	S313665000001
313862	S313862000001
313890	S313890000001
313970	S313970000001
314000	S314000000025
314000	S314000000026
314000	S314000000030
314000	S314000000033
314090	S314090000001
314090	S314090000002
314270	S314270000001
314280	S314280000001
314500	S314500000001
314585	S314585000001
315230	S315230000001
315310	S315310000001
315430	S315430000006
315740	S315740000001
316830	S316830000002
316950	S316950000001
316950	S316950000003
317110	S317110000001
320080	S320080000006
320320	S320320000001
320501	S320501000001
354330	S350660000005
351440	S351440000001
352830	S352830000001
353770	S353770000001
355680	S355680000001
410230	S410230000004
410470	S410470000001
410740	S410740000001
411007	S411007000002
411520	S411520000001
412550	S412550000002
412550	S412550000003
412550	S412550000004
412550	S412550000005
430660	S430660000001
500370	S500370000002
510180	S510180000001
510180	S510180000002
510180	S510180000003
510180	S510180000006
510336	S510336000001
520160	S520160000001
520430	S520430000001
520547	S520547000001
520753	S520753000001
521450	S521450000001
521450	S521450000002
521450	S521450000003
521450	S521450000004
521450	S521450000005
521640	S521640000001
521839	S521839000001
522145	S522145000001
530007	S530001000001
530009	S530001000001
